Site        X          Y        Z        Latitude      Longitude    Height    Rec. Type    Ant.Type
      ITRF96(m)   ITRF96(m)   ITRF96(m)   WGS84(deg.)   WGS84(deg.)  WGS84(m)
A4 1X F14.2 F14.2 F14.2 F14.7 F14.7 F14.2 2X A7 2X A7
ac28    -3440010.01   -1248721.11    5206689.32    55.0788132  -160.0491400        364.52  TRIMBLE  TRM2965
ac32    -2664747.68   -1493131.34    5581895.48    61.4734597  -150.7368920       1347.32  TRIMBLE  TRM5980
ac33    -2560583.04   -1437810.26    5644595.22    62.6715077  -150.6850600       1519.56  TRIMBLE  TRM2965
ac34    -3091813.18   -1556428.18    5339292.47    57.2203261  -153.2791770        103.22  TRIMBLE  TRM2965
ac35    -2843220.64   -1589462.24    5465731.75    59.3761151  -150.7932450        408.42  TRIMBLE  TRM2965
ac36    -2704910.71   -1523619.54    5552967.81    60.9555959  -150.6083500         46.44  TRIMBLE  TRM2965
ac38    -3048695.31   -1530543.51    5371187.28    57.7539782  -153.3418710         43.78  TRIMBLE  TRM2965
ac39    -2951221.10   -1543249.40    5421556.44    58.6100152  -152.3940800        161.35  TRIMBLE  TRM2965
ac40    -3248412.33   -1271825.87    5321705.01    56.9306509  -158.6185490         39.31  TRIMBLE  TRM2965
ac41    -3376012.25   -1201660.30    5259086.45    55.9089930  -160.4072840        407.15  TRIMBLE  TRM2965
ac43    -2798140.02   -1639774.76    5473677.33    59.5215644  -149.6287110         69.11  TRIMBLE  TRM2965
ac44    -2652975.54   -1558538.06    5569104.91    61.2424842  -149.5671300        832.14  TRIMBLE  TRM2965
ac45    -3171145.56   -1534291.94    5299706.78    56.5647744  -154.1809600        451.09  TRIMBLE  TRM2965
ac46    -2640425.65   -1432203.84    5608343.42    61.9865682  -151.5239760        619.28  TRIMBLE  TRM2965
ac47    -2832479.17   -1466717.83    5505807.87    60.0817787  -152.6239200        921.77  TRIMBLE  TRM5980
ac48    -2639212.27   -1691549.04    5536435.79    60.6461559  -147.3429910        379.16  TRIMBLE  TRM2965
ac51    -2690561.76   -1440531.69    5582880.64    61.4984027  -151.8353220        956.91  TRIMBLE  TRM2965
ac52    -3169556.89   -1308067.48    5360086.39    57.5675455  -157.5741940         51.24  TRIMBLE  TRM2965
ac53    -2621487.83   -1509313.22    5596432.80    61.7692444  -150.0689520         57.45  TRIMBLE  TRM2965
ac55    -2611994.61   -1402619.76    5629399.70    62.3847599  -151.7645650       1011.89  TRIMBLE  TRM2965
ac57    -2551471.51   -1737710.81    5563537.33    61.1389116  -145.7427020        826.36  TRIMBLE  TRM2965
ac58    -3416995.85    -589123.27    5335363.60    57.1563848  -170.2178200         19.34  TRIMBLE  TRM2965
ac59    -2900773.11   -1440890.33    5476476.82    59.5674967  -153.5852000        308.56  TRIMBLE  TRM2965
ac60    -3851330.35     399608.47    5051382.45    52.7149318   174.0762700         18.28  TRIMBLE  TRM2965
ac61    -2209479.71   -1721531.11    5711813.90    64.0295481  -142.0758190        745.12  TRIMBLE  TRM2965
ac62    -2409397.50   -1606097.27    5665403.99    63.0839328  -146.3126940       1347.11  TRIMBLE  TRM2965
ac63    -2361555.39   -1602066.32    5685913.41    63.5027236  -145.8472450        815.03  TRIMBLE  TRM2965
ac67    -3020876.56   -1577569.28    5373644.85    57.7910297  -152.4254300        348.59  TRIMBLE  TRM2965
ac70    -2441772.00   -1514653.59    5676041.10    63.3050089  -148.1882930        810.43  TRIMBLE  TRM2965
ac74    -2444325.61   -1479914.55    5683887.16    63.4646468  -148.8072320        668.15  TRIMBLE  TRM2965
ac75    -2504692.68   -1468977.82    5660484.84    62.9995954  -149.6087930        608.18  TRIMBLE  TRM2965
ac76    -2323970.66   -1734834.28    5663413.81    63.0403377  -143.2588160       1585.25  TRIMBLE  TRM2965
ac77    -2416355.19   -1665299.66    5644771.09    62.6883314  -145.4262300        746.47  TRIMBLE  TRM2965
