hmax        =    300
wind_bottom =      2
wind_top    =     10
critlon     =      0
tbeg, h     =   0.00
tend, h     =  24.00
c_ionex     =      0
c_vert      =      1
time, gamma, az, latp, lonp, tec, tec_filtered
  2.1417   62.14300   70.06300   47.4760  144.5996    2.72100   -0.00854
  2.1500   61.94600   70.32700   47.4735  144.6182    2.75600   -0.04158
  2.1583   61.74900   70.59000   47.4710  144.6368    2.75700   -0.06336
  2.1667   61.55100   70.85100   47.4685  144.6555    2.82900   -0.06788
  2.1750   61.35300   71.10400   47.4661  144.6743    2.92400   -0.04715
  2.1833   61.15500   71.35500   47.4636  144.6930    3.01100   -0.01920
  2.1917   60.95700   71.60500   47.4610  144.7118    3.10800    0.00463
  2.2000   60.75800   71.85400   47.4584  144.7307    3.18800    0.02491
  2.2083   60.56000   72.10200   47.4557  144.7496    3.26100    0.03984
  2.2167   60.36200   72.34800   47.4530  144.7686    3.33700    0.05354
  2.2250   60.16400   72.59400   47.4501  144.7875    3.41300    0.05247
  2.2333   59.96700   72.83800   47.4472  144.8065    3.44000    0.04070
  2.2417   59.76900   73.08100   47.4443  144.8256    3.48800    0.02309
  2.2500   59.57100   73.32300   47.4412  144.8447    3.54900    0.00608
  2.2583   59.37400   73.56400   47.4381  144.8638    3.57900   -0.00762
  2.2667   59.17600   73.80300   47.4350  144.8830    3.63400   -0.01755
  2.2750   58.97900   74.04200   47.4318  144.9022    3.70200   -0.02308
  2.2833   58.78100   74.27900   47.4285  144.9215    3.74000   -0.02648
  2.2917   58.58400   74.51600   47.4251  144.9408    3.79400   -0.02244
  2.3000   58.38700   74.75100   47.4217  144.9601    3.88000   -0.00556
  2.3083   58.19000   74.98600   47.4182  144.9795    3.95600    0.01627
  2.3167   57.99300   75.21900   47.4146  144.9989    4.02500    0.03062
  2.3250   57.79600   75.45200   47.4110  145.0184    4.08500    0.04040
  2.3333   57.59900   75.68300   47.4073  145.0380    4.14600    0.04572
  2.3417   57.40200   75.90800   47.4037  145.0575    4.20000    0.04949
  2.3500   57.20400   76.13200   47.4000  145.0772    4.25400    0.04199
  2.3583   57.00700   76.35500   47.3963  145.0968    4.27600    0.02332
  2.3667   56.80900   76.57700   47.3925  145.1166    4.29300    0.00043
  2.3750   56.61200   76.79800   47.3886  145.1364    4.33700   -0.01902
  2.3833   56.41500   77.01900   47.3846  145.1562    4.37600   -0.03011
  2.3917   56.21800   77.23900   47.3806  145.1761    4.42700   -0.03942
  2.4000   56.02100   77.45800   47.3765  145.1960    4.48200   -0.04856
  2.4083   55.82400   77.67600   47.3724  145.2160    4.52700   -0.06008
  2.4167   55.62700   77.89400   47.3682  145.2360    4.57400   -0.07676
  2.4250   55.43100   78.11100   47.3638  145.2560    4.61500   -0.08646
  2.4333   55.23400   78.32700   47.3595  145.2761    4.68900   -0.08561
  2.4417   55.03800   78.54300   47.3550  145.2963    4.78000   -0.07243
  2.4500   54.84200   78.75800   47.3505  145.3164    4.87100   -0.05534
  2.4583   54.64500   78.97200   47.3459  145.3368    4.96600   -0.03180
  2.4667   54.44900   79.18500   47.3413  145.3571    5.08600   -0.00512
  2.4750   54.25300   79.39800   47.3365  145.3774    5.19500    0.01567
  2.4833   54.05800   79.61000   47.3317  145.3977    5.27500    0.02685
  2.4917   53.86200   79.82100   47.3268  145.4182    5.36400    0.03217
  2.5000   53.66600   80.03200   47.3219  145.4387    5.45600    0.03284
  2.5083   53.47000   80.23700   47.3170  145.4593    5.52700    0.03051
  2.5167   53.27400   80.44100   47.3121  145.4799    5.61500    0.01341
  2.5250   53.07800   80.64500   47.3071  145.5006    5.66000   -0.00211
  2.5333   52.88200   80.84900   47.3020  145.5214    5.73800   -0.01893
  2.5417   52.68600   81.05100   47.2968  145.5422    5.82000   -0.02204
  2.5500   52.49000   81.25400   47.2916  145.5631    5.91400   -0.02346
  2.5583   52.29400   81.45600   47.2862  145.5840    5.99500   -0.03497
  2.5667   52.09900   81.65700   47.2808  145.6049    6.03700   -0.04342
  2.5750   51.90300   81.85800   47.2754  145.6260    6.13900   -0.03576
  2.5833   51.70800   82.05800   47.2698  145.6471    6.27700   -0.00971
  2.5917   51.51300   82.25800   47.2642  145.6682    6.38700    0.01357
  2.6000   51.31800   82.45700   47.2585  145.6894    6.47900    0.02107
  2.6083   51.12300   82.65600   47.2527  145.7106    6.56100    0.02174
  2.6167   50.92800   82.85400   47.2469  145.7320    6.64500    0.03004
